item,cls,source,price,lo,hi,pos_in_range,consumed,trades_per_day,units_per_day,basis
polished_basalt,RENEWABLE,farmable,1094,1094,1172,0,,1612,102307,last-15 spread
smooth_basalt,RENEWABLE,farmable,1111,609,1563,53,,1118,66423,last-15 spread
soul_torch,RENEWABLE,farmable,6250,1563,15000,35,,252,10730,last-15 spread
copper_torch,RENEWABLE,farmable,1563,1563,2344,0,,163,7357,last-15 spread
glowstone,RENEWABLE,farmable,8333,7813,10625,18,,10157,288488,last-15 spread
mossy_stone_bricks,RENEWABLE,farmable,1047,1047,1234,0,,1155,71658,last-15 spread
cracked_stone_bricks,RENEWABLE,farmable,2969,2500,2969,100,,574,36079,last-15 spread
chiseled_stone_bricks,RENEWABLE,farmable,766,766,781,0,,961,60212,last-15 spread
packed_mud,RENEWABLE,farmable,4672,3906,4672,100,,725,44923,last-15 spread
deepslate_bricks,RENEWABLE,farmable,781,719,781,100,,5621,353645,last-15 spread
cracked_deepslate_tiles,RENEWABLE,farmable,3125,2967,3166,79,,236,14892,last-15 spread
chiseled_deepslate,RENEWABLE,farmable,2563,688,3906,58,,569,34467,last-15 spread
brown_mushroom_block,RENEWABLE,farmable,4000,3125,4531,62,,314,18671,last-15 spread
red_mushroom_block,RENEWABLE,farmable,1184,781,1250,86,,370,21950,last-15 spread
mushroom_stem,RENEWABLE,farmable,6000,2500,7797,66,,298,16918,last-15 spread
iron_bars,RENEWABLE,farmable,625,469,625,100,,2922,181866,last-15 spread
copper_bars,RENEWABLE,farmable,1563,1094,1563,100,,191,10864,last-15 spread
exposed_copper_bars,RENEWABLE,farmable,20000,8000,66667,20,,5,13,last-15 spread
weathered_copper_bars,RENEWABLE,farmable,20000,5000,125000,12,,1,8,last-15 spread
oxidized_copper_bars,RENEWABLE,farmable,31094,15000,42188,59,,25,1333,last-15 spread
waxed_copper_bars,RENEWABLE,farmable,78125,16129,200000,34,,44,1041,last-15 spread
waxed_weathered_copper_bars,RENEWABLE,farmable,200000,70000,500000,30,,1,1,last-15 spread
waxed_oxidized_copper_bars,RENEWABLE,farmable,1000000,90000,2599999,36,,12,75,last-15 spread
iron_chain,RENEWABLE,farmable,5429,1563,30000,14,,2698,84228,last-15 spread
copper_chain,RENEWABLE,farmable,2656,2344,3125,40,,205,11526,last-15 spread
exposed_copper_chain,RENEWABLE,farmable,20000,5000,50000,33,,1,4,last-15 spread
weathered_copper_chain,RENEWABLE,farmable,300000,78125,300000,100,,2,4,last-15 spread
oxidized_copper_chain,RENEWABLE,farmable,166667,100000,325000,30,,71,401,last-15 spread
waxed_copper_chain,RENEWABLE,farmable,56250,45313,189000,8,,9,450,last-15 spread
waxed_exposed_copper_chain,RENEWABLE,farmable,85938,85938,156250,0,,0,0,last-15 spread
waxed_oxidized_copper_chain,RENEWABLE,farmable,1000000,999999,9900000,0,,10,78,last-15 spread
melon,RENEWABLE,farmable,1563,1484,3125,5,,628,35758,last-15 spread
vine,RENEWABLE,farmable,1563,1406,1641,67,,1183,41506,last-15 spread
glow_lichen,RENEWABLE,farmable,25000,1563,30000,82,,7910,405230,last-15 spread
resin_clump,RENEWABLE,farmable,1016,1016,1172,0,,226,10187,last-15 spread
resin_block,RENEWABLE,farmable,4063,3906,4063,100,,265,15707,last-15 spread
resin_bricks,RENEWABLE,farmable,7797,6250,7813,99,,371,20768,last-15 spread
resin_brick_stairs,RENEWABLE,farmable,15625,15625,17188,0,,14,614,last-15 spread
resin_brick_slab,RENEWABLE,farmable,15625,6349,31094,37,,14,573,last-15 spread
resin_brick_wall,RENEWABLE,farmable,15625,12000,15625,100,,10,497,last-15 spread
chiseled_resin_bricks,RENEWABLE,farmable,16667,14063,33333,14,,13,459,last-15 spread
brick_stairs,RENEWABLE,farmable,8594,7031,14063,22,,30,1425,last-15 spread
stone_brick_stairs,RENEWABLE,farmable,1563,1047,1563,100,,1205,76148,last-15 spread
mud_brick_stairs,RENEWABLE,farmable,7031,3109,20313,23,,211,13203,last-15 spread
mycelium,RENEWABLE,farmable,391,313,391,100,,220,12622,last-15 spread
lily_pad,RENEWABLE,farmable,30000,30000,49900,0,,1324,14127,last-15 spread
nether_bricks,RENEWABLE,farmable,5797,4688,10000,21,,1575,96572,last-15 spread
cracked_nether_bricks,RENEWABLE,farmable,15625,9804,25000,38,,7,372,last-15 spread
chiseled_nether_bricks,RENEWABLE,farmable,10000,10000,13700,0,,55,2871,last-15 spread
nether_brick_fence,RENEWABLE,farmable,6250,6250,7813,0,,158,7634,last-15 spread
nether_brick_stairs,RENEWABLE,farmable,15594,15594,15609,0,,104,6326,last-15 spread
sculk,RENEWABLE,farmable,1547,1516,1561,69,,2855,174018,last-15 spread
sculk_vein,RENEWABLE,farmable,6000,2000,14844,31,,406,22469,last-15 spread
sculk_catalyst,RENEWABLE,farmable,11000,10000,35000,4,,393,5632,last-15 spread
sculk_shrieker,RENEWABLE,farmable,25000,20000,33000,38,,391,1611,last-15 spread
enchanting_table,RENEWABLE,farmable,89995,79000,89995,100,,2581,3992,last-15 spread
end_stone,RENEWABLE,farmable,625,517,781,41,,3931,242892,last-15 spread
end_stone_bricks,RENEWABLE,farmable,313,313,1328,0,,492,29635,last-15 spread
sandstone_stairs,RENEWABLE,farmable,3125,1563,3125,100,,462,29151,last-15 spread
ender_chest,RENEWABLE,farmable,38000,4500,498000,1,,19648,67561,33d candles
emerald_block,RENEWABLE,farmable,37500,12500,138000,14,,6385,230120,27d candles
oak_stairs,RENEWABLE,farmable,3125,1563,3125,100,,679,41853,last-15 spread
spruce_stairs,RENEWABLE,farmable,780,469,781,100,,2615,163778,last-15 spread
birch_stairs,RENEWABLE,farmable,6234,4086,6234,100,,392,24677,last-15 spread
jungle_stairs,RENEWABLE,farmable,7000,7000,78125,0,,101,6217,last-15 spread
acacia_stairs,RENEWABLE,farmable,7812,7797,10000,1,,38,1960,last-15 spread
cherry_stairs,RENEWABLE,farmable,2250,1563,3125,44,,377,21829,last-15 spread
dark_oak_stairs,RENEWABLE,farmable,2656,2656,3125,0,,823,50792,last-15 spread
bamboo_stairs,RENEWABLE,farmable,6250,5000,7797,45,,227,14239,last-15 spread
bamboo_mosaic_stairs,RENEWABLE,farmable,14453,10766,107813,4,,41,1442,last-15 spread
crimson_stairs,RENEWABLE,farmable,7797,3125,11719,54,,156,9643,last-15 spread
beacon,RENEWABLE,farmable,250000,120000,1000000,5,,1835,31906,14d candles
cobblestone_wall,RENEWABLE,farmable,333,313,1094,3,,5824,369449,last-15 spread
mossy_cobblestone_wall,RENEWABLE,farmable,3891,2344,3906,99,,110,6850,last-15 spread
brick_wall,RENEWABLE,farmable,11111,8594,15625,36,,32,1914,last-15 spread
prismarine_wall,RENEWABLE,farmable,12344,11391,13281,50,,93,5191,last-15 spread
red_sandstone_wall,RENEWABLE,farmable,46875,29688,5000000,0,,22,1079,last-15 spread
mossy_stone_brick_wall,RENEWABLE,farmable,5938,3125,14063,26,,58,3711,last-15 spread
granite_wall,RENEWABLE,farmable,4688,3906,6250,33,,103,6262,last-15 spread
mud_brick_wall,RENEWABLE,farmable,13033,1875,31248,38,,251,15878,last-15 spread
nether_brick_wall,RENEWABLE,farmable,7813,5833,10922,39,,59,3485,last-15 spread
andesite_wall,RENEWABLE,farmable,5938,5469,5938,100,,307,19553,last-15 spread
red_nether_brick_wall,RENEWABLE,farmable,15453,14063,39063,6,,48,2919,last-15 spread
sandstone_wall,RENEWABLE,farmable,6667,2344,7813,79,,373,23518,last-15 spread
end_stone_brick_wall,RENEWABLE,farmable,10938,4688,26563,29,,65,4066,last-15 spread
blackstone_wall,RENEWABLE,farmable,1563,1563,1662,0,,365,22518,last-15 spread
polished_blackstone_wall,RENEWABLE,farmable,4688,3125,4688,100,,236,14872,last-15 spread
polished_blackstone_brick_wall,RENEWABLE,farmable,6094,3906,7071,69,,145,9089,last-15 spread
cobbled_deepslate_wall,RENEWABLE,farmable,25000,1111,40000,61,,184,11065,last-15 spread
polished_deepslate_wall,RENEWABLE,farmable,7813,7797,9375,1,,252,15553,last-15 spread
deepslate_tile_wall,RENEWABLE,farmable,2344,1563,2344,100,,460,29132,last-15 spread
anvil,RENEWABLE,farmable,20000,17000,29500,24,,9110,34190,last-15 spread
chipped_anvil,RENEWABLE,farmable,13906,10000,25000,26,,645,27016,last-15 spread
damaged_anvil,RENEWABLE,farmable,30000,10000,30000,100,,248,7268,last-15 spread
chiseled_quartz_block,RENEWABLE,farmable,13000,5100,20000,53,,595,36327,last-15 spread
quartz_bricks,RENEWABLE,farmable,3386,3109,3738,44,,1139,53403,last-15 spread
quartz_pillar,RENEWABLE,farmable,5714,1600,100000,4,,1659,91017,last-15 spread
white_terracotta,RENEWABLE,farmable,859,781,1000,36,,1045,63018,last-15 spread
orange_terracotta,RENEWABLE,farmable,703,156,1484,41,,649,37243,last-15 spread
light_blue_terracotta,RENEWABLE,farmable,6250,6250,7797,0,,495,31226,last-15 spread
yellow_terracotta,RENEWABLE,farmable,2778,1650,2813,97,,1012,61385,last-15 spread
lime_terracotta,RENEWABLE,farmable,4297,3891,14844,4,,432,27017,last-15 spread
pink_terracotta,RENEWABLE,farmable,15625,6219,15625,100,,379,24191,last-15 spread
gray_terracotta,RENEWABLE,farmable,4828,4813,6250,1,,674,42327,last-15 spread
light_gray_terracotta,RENEWABLE,farmable,781,625,859,67,,505,28925,last-15 spread
purple_terracotta,RENEWABLE,farmable,4688,3495,7813,28,,266,16702,last-15 spread
blue_terracotta,RENEWABLE,farmable,2344,1471,6094,19,,611,38240,last-15 spread
brown_terracotta,RENEWABLE,farmable,1172,781,1531,52,,814,50422,last-15 spread
green_terracotta,RENEWABLE,farmable,3109,3109,4688,0,,1072,66215,last-15 spread
black_terracotta,RENEWABLE,farmable,13594,9219,15594,69,,475,29909,last-15 spread
hay_block,RENEWABLE,farmable,35000,13265,40000,81,,680,24944,last-15 spread
white_carpet,RENEWABLE,farmable,2031,1563,3750,21,,4753,284479,last-15 spread
orange_carpet,RENEWABLE,farmable,3594,3125,3594,100,,282,17395,last-15 spread
magenta_carpet,RENEWABLE,farmable,3906,1563,15625,17,,127,7161,last-15 spread
light_blue_carpet,RENEWABLE,farmable,3125,1547,6042,35,,248,14662,last-15 spread
yellow_carpet,RENEWABLE,farmable,4998,625,7656,62,,446,26178,last-15 spread
lime_carpet,RENEWABLE,farmable,8065,7745,9219,22,,162,9936,last-15 spread
pink_carpet,RENEWABLE,farmable,4688,2857,4688,100,,646,38904,last-15 spread
gray_carpet,RENEWABLE,farmable,10859,1953,10859,100,,679,41360,last-15 spread
light_gray_carpet,RENEWABLE,farmable,6203,4688,6219,99,,355,20448,last-15 spread
cyan_carpet,RENEWABLE,farmable,5469,3514,6172,74,,204,11711,last-15 spread
purple_carpet,RENEWABLE,farmable,6234,6234,6250,0,,469,27963,last-15 spread
blue_carpet,RENEWABLE,farmable,5245,4636,5313,90,,767,47303,last-15 spread
brown_carpet,RENEWABLE,farmable,5203,1563,5453,94,,329,20281,last-15 spread
red_carpet,RENEWABLE,farmable,3406,2891,4531,31,,2511,151635,last-15 spread
black_carpet,RENEWABLE,farmable,1547,1484,1547,100,,1710,104317,last-15 spread
terracotta,RENEWABLE,farmable,469,313,703,40,,1082,63301,last-15 spread
packed_ice,RENEWABLE,farmable,438,313,455,88,,8782,548781,last-15 spread
lilac,RENEWABLE,farmable,313,313,417,0,,585,32440,last-15 spread
rose_bush,RENEWABLE,farmable,313,219,313,100,,1955,118414,last-15 spread
peony,RENEWABLE,farmable,781,625,3333,6,,312,12953,last-15 spread
tall_grass,RENEWABLE,farmable,484995,375000,500000,88,,285,702,last-15 spread
large_fern,RENEWABLE,farmable,1700000,1000000,3500000,28,,235,262,last-15 spread
white_stained_glass,RENEWABLE,farmable,1250,1250,1563,0,,6964,434788,last-15 spread
orange_stained_glass,RENEWABLE,farmable,3594,2813,3594,100,,1690,103973,last-15 spread
magenta_stained_glass,RENEWABLE,farmable,1250,1250,1561,0,,1626,96906,last-15 spread
light_blue_stained_glass,RENEWABLE,farmable,2500,1563,3125,60,,2011,125887,last-15 spread
yellow_stained_glass,RENEWABLE,farmable,1094,1094,2344,0,,2155,135576,last-15 spread
lime_stained_glass,RENEWABLE,farmable,1719,1688,1719,100,,2330,145539,last-15 spread
pink_stained_glass,RENEWABLE,farmable,1406,1250,2500,12,,1618,97750,last-15 spread
gray_stained_glass,RENEWABLE,farmable,3976,2813,11656,13,,1542,94745,last-15 spread
light_gray_stained_glass,RENEWABLE,farmable,2328,2031,2344,95,,1675,105102,last-15 spread
cyan_stained_glass,RENEWABLE,farmable,1531,1172,1563,92,,1624,102490,last-15 spread
purple_stained_glass,RENEWABLE,farmable,1531,1406,2172,16,,3629,222331,last-15 spread
blue_stained_glass,RENEWABLE,farmable,1531,1531,1547,0,,3707,222329,last-15 spread
brown_stained_glass,RENEWABLE,farmable,3734,3125,3734,100,,1238,75790,last-15 spread
green_stained_glass,RENEWABLE,farmable,1250,1250,1563,0,,2666,163885,last-15 spread
red_stained_glass,RENEWABLE,farmable,2266,2188,2266,100,,3544,223708,last-15 spread
black_stained_glass,RENEWABLE,farmable,3125,2250,4688,36,,5674,347192,last-15 spread
white_stained_glass_pane,RENEWABLE,farmable,3109,3109,3125,0,,1017,59628,last-15 spread
orange_stained_glass_pane,RENEWABLE,farmable,3125,2344,3125,100,,113,6763,last-15 spread
magenta_stained_glass_pane,RENEWABLE,farmable,781,547,781,100,,176,9289,last-15 spread
light_blue_stained_glass_pane,RENEWABLE,farmable,2344,2344,4375,0,,236,14337,last-15 spread
yellow_stained_glass_pane,RENEWABLE,farmable,7031,3125,7813,83,,220,13190,last-15 spread
lime_stained_glass_pane,RENEWABLE,farmable,5995,781,6078,98,,168,10100,last-15 spread
pink_stained_glass_pane,RENEWABLE,farmable,1563,1563,1953,0,,200,12512,last-15 spread
gray_stained_glass_pane,RENEWABLE,farmable,9375,3594,10156,88,,209,12148,last-15 spread
light_gray_stained_glass_pane,RENEWABLE,farmable,7813,3594,9328,74,,247,15027,last-15 spread
cyan_stained_glass_pane,RENEWABLE,farmable,7031,6984,7813,6,,137,8116,last-15 spread
purple_stained_glass_pane,RENEWABLE,farmable,4688,2344,7813,43,,493,30647,last-15 spread
brown_stained_glass_pane,RENEWABLE,farmable,4677,4672,4688,31,,40,2218,last-15 spread
green_stained_glass_pane,RENEWABLE,farmable,3125,2344,3125,100,,298,18536,last-15 spread
red_stained_glass_pane,RENEWABLE,farmable,3125,1563,11719,15,,429,25197,last-15 spread
prismarine,RENEWABLE,farmable,4688,4188,5469,39,,1349,78812,last-15 spread
prismarine_bricks,RENEWABLE,farmable,3906,3750,10000,2,,1542,90385,last-15 spread
dark_prismarine,RENEWABLE,farmable,5469,3571,6844,58,,1012,51265,last-15 spread
prismarine_stairs,RENEWABLE,farmable,13281,13281,17782,0,,188,11790,last-15 spread
prismarine_brick_stairs,RENEWABLE,farmable,11980,6234,13281,82,,187,11583,last-15 spread
dark_prismarine_stairs,RENEWABLE,farmable,7797,7797,13281,0,,152,9300,last-15 spread
sea_lantern,RENEWABLE,farmable,30000,9375,42857,62,,6277,185042,last-15 spread
red_sandstone,RENEWABLE,farmable,4297,2500,4297,100,,210,12869,last-15 spread
chiseled_red_sandstone,RENEWABLE,farmable,3000,3000,1900000,0,,4,256,last-15 spread
cut_red_sandstone,RENEWABLE,farmable,15625,3906,15625,100,,15,801,last-15 spread
red_sandstone_stairs,RENEWABLE,farmable,15609,7813,100000,8,,20,1105,last-15 spread
magma_block,RENEWABLE,farmable,467,391,1063,11,,3410,189409,last-15 spread
nether_wart_block,RENEWABLE,farmable,938,906,1563,5,,410,23039,last-15 spread
warped_wart_block,RENEWABLE,farmable,1563,1355,1563,100,,680,41423,last-15 spread
red_nether_bricks,RENEWABLE,farmable,7109,7109,7813,0,,941,59457,last-15 spread
bone_block,RENEWABLE,farmable,844,458,125000,5,,11476,625747,27d candles
shulker_box,RENEWABLE,farmable,49900,1800,50000,9,,26223,26223,5d candles
white_shulker_box,RENEWABLE,farmable,60000,29900,60000,100,,2530,2530,last-15 spread
orange_shulker_box,RENEWABLE,farmable,40000,40000,80000,0,,625,625,last-15 spread
magenta_shulker_box,RENEWABLE,farmable,39000,39000,40000,0,,297,297,last-15 spread
light_blue_shulker_box,RENEWABLE,farmable,50000,49999,101000,0,,824,824,last-15 spread
yellow_shulker_box,RENEWABLE,farmable,45000,40000,50000,50,,1342,1342,last-15 spread
lime_shulker_box,RENEWABLE,farmable,40000,29900,50000,50,,610,610,last-15 spread
pink_shulker_box,RENEWABLE,farmable,50000,50000,100000,0,,922,922,last-15 spread
gray_shulker_box,RENEWABLE,farmable,185000,185000,200000,0,,340,340,last-15 spread
light_gray_shulker_box,RENEWABLE,farmable,100000,29900,150000,58,,358,358,last-15 spread
blue_shulker_box,RENEWABLE,farmable,75000,75000,100000,0,,1619,1619,last-15 spread
brown_shulker_box,RENEWABLE,farmable,95000,28000,200000,39,,347,347,last-15 spread
green_shulker_box,RENEWABLE,farmable,80000,80000,89000,0,,1094,1094,last-15 spread
red_shulker_box,RENEWABLE,farmable,65000,60000,70000,50,,2033,2033,last-15 spread
black_shulker_box,RENEWABLE,farmable,95000,95000,99000,0,,3594,3594,last-15 spread
white_glazed_terracotta,RENEWABLE,farmable,3516,1563,10000,23,,347,19669,last-15 spread
orange_glazed_terracotta,RENEWABLE,farmable,1547,1547,1563,0,,353,19771,last-15 spread
magenta_glazed_terracotta,RENEWABLE,farmable,3125,1406,3859,70,,101,5509,last-15 spread
light_blue_glazed_terracotta,RENEWABLE,farmable,12366,7813,15625,58,,523,32061,last-15 spread
yellow_glazed_terracotta,RENEWABLE,farmable,4688,2857,7813,37,,431,24400,last-15 spread
lime_glazed_terracotta,RENEWABLE,farmable,4688,3125,6938,41,,179,10363,last-15 spread
pink_glazed_terracotta,RENEWABLE,farmable,4297,4297,4688,0,,306,18408,last-15 spread
gray_glazed_terracotta,RENEWABLE,farmable,8856,7500,15469,17,,301,18381,last-15 spread
light_gray_glazed_terracotta,RENEWABLE,farmable,7797,4688,8258,87,,460,26323,last-15 spread
cyan_glazed_terracotta,RENEWABLE,farmable,5078,4688,6667,20,,186,11211,last-15 spread
blue_glazed_terracotta,RENEWABLE,farmable,4219,4141,7344,2,,428,24675,last-15 spread
brown_glazed_terracotta,RENEWABLE,farmable,1391,1359,1547,17,,102,5463,last-15 spread
green_glazed_terracotta,RENEWABLE,farmable,15625,14844,15625,100,,490,25973,last-15 spread
red_glazed_terracotta,RENEWABLE,farmable,3516,2969,3516,100,,613,33469,last-15 spread
black_glazed_terracotta,RENEWABLE,farmable,3594,2344,3594,100,,745,41310,last-15 spread
white_concrete,RENEWABLE,farmable,1613,1455,4063,6,,6834,409545,last-15 spread
orange_concrete,RENEWABLE,farmable,3125,2500,3422,68,,1321,81795,last-15 spread
magenta_concrete,RENEWABLE,farmable,2031,1250,2266,77,,364,22070,last-15 spread
light_blue_concrete,RENEWABLE,farmable,2813,1563,2813,100,,3206,197705,last-15 spread
lime_concrete,RENEWABLE,farmable,3438,2109,3906,74,,1832,108282,last-15 spread
pink_concrete,RENEWABLE,farmable,1953,1938,1953,100,,1231,74257,last-15 spread
gray_concrete,RENEWABLE,farmable,4578,3528,4594,98,,2847,176123,last-15 spread
light_gray_concrete,RENEWABLE,farmable,3281,3109,3281,100,,1393,85427,last-15 spread
cyan_concrete,RENEWABLE,farmable,6406,6250,7406,13,,1516,94026,last-15 spread
purple_concrete,RENEWABLE,farmable,4688,4359,7813,10,,1955,120570,last-15 spread
blue_concrete,RENEWABLE,farmable,1547,1547,1563,0,,2918,157005,last-15 spread
brown_concrete,RENEWABLE,farmable,3906,3125,3906,100,,521,31972,last-15 spread
green_concrete,RENEWABLE,farmable,3125,3125,3891,0,,1628,90233,last-15 spread
red_concrete,RENEWABLE,farmable,3906,3125,15625,6,,3253,181723,last-15 spread
black_concrete,RENEWABLE,farmable,2564,2125,5625,13,,7859,466544,last-15 spread
white_concrete_powder,RENEWABLE,farmable,1516,1484,1531,68,,1360,82301,last-15 spread
orange_concrete_powder,RENEWABLE,farmable,2031,1953,2031,100,,289,18088,last-15 spread
magenta_concrete_powder,RENEWABLE,farmable,1250,859,1563,56,,350,21654,last-15 spread
light_blue_concrete_powder,RENEWABLE,farmable,1250,1250,2292,0,,389,24360,last-15 spread
yellow_concrete_powder,RENEWABLE,farmable,3125,2683,5000,19,,441,27664,last-15 spread
pink_concrete_powder,RENEWABLE,farmable,2344,2059,2344,100,,250,15356,last-15 spread
gray_concrete_powder,RENEWABLE,farmable,3906,2813,3906,100,,368,23376,last-15 spread
light_gray_concrete_powder,RENEWABLE,farmable,1094,1094,1429,0,,336,21317,last-15 spread
cyan_concrete_powder,RENEWABLE,farmable,4297,3906,7656,10,,360,22722,last-15 spread
purple_concrete_powder,RENEWABLE,farmable,4688,3003,4688,100,,969,61841,last-15 spread
blue_concrete_powder,RENEWABLE,farmable,1563,1563,2688,0,,679,42865,last-15 spread
brown_concrete_powder,RENEWABLE,farmable,3906,3906,4688,0,,147,9120,last-15 spread
green_concrete_powder,RENEWABLE,farmable,1250,1250,2734,0,,1062,57868,last-15 spread
red_concrete_powder,RENEWABLE,farmable,2344,2031,2578,57,,1235,76902,last-15 spread
black_concrete_powder,RENEWABLE,farmable,1563,1094,1563,100,,1047,59593,last-15 spread
turtle_egg,RENEWABLE,farmable,30000,9375,30000,100,,3444,45457,last-15 spread
sniffer_egg,RENEWABLE,farmable,50000,40000,50000,100,,976,8090,last-15 spread
dried_ghast,RENEWABLE,farmable,10000,5000,15000,50,,756,15357,last-15 spread
dead_tube_coral_block,RENEWABLE,farmable,29000,6250,60000,42,,72,536,last-15 spread
dead_brain_coral_block,RENEWABLE,farmable,11628,4531,23438,38,,119,2234,last-15 spread
dead_bubble_coral_block,RENEWABLE,farmable,3704,2344,10000,18,,52,577,last-15 spread
dead_fire_coral_block,RENEWABLE,farmable,15000,6250,15000,100,,112,586,last-15 spread
dead_horn_coral_block,RENEWABLE,farmable,4688,3600,10000,17,,71,2633,last-15 spread
tube_coral_block,RENEWABLE,farmable,4688,3373,5556,60,,538,18621,last-15 spread
brain_coral_block,RENEWABLE,farmable,6250,3750,20000,15,,347,9701,last-15 spread
bubble_coral_block,RENEWABLE,farmable,1579,938,4688,17,,474,10416,last-15 spread
fire_coral_block,RENEWABLE,farmable,2734,2031,5000,24,,784,19552,last-15 spread
horn_coral_block,RENEWABLE,farmable,3750,2813,5000,43,,346,8248,last-15 spread
tube_coral,RENEWABLE,farmable,20000,9949,80000,14,,130,690,last-15 spread
brain_coral,RENEWABLE,farmable,50000,9949,60000,80,,120,593,last-15 spread
bubble_coral,RENEWABLE,farmable,25000,10000,80000,21,,83,523,last-15 spread
fire_coral,RENEWABLE,farmable,50000,25000,80000,45,,141,1033,last-15 spread
horn_coral,RENEWABLE,farmable,56572,9949,80000,67,,121,612,last-15 spread
dead_brain_coral,RENEWABLE,farmable,50000,50000,70000,0,,19,19,last-15 spread
dead_bubble_coral,RENEWABLE,farmable,60000,50000,70000,50,,14,15,last-15 spread
dead_fire_coral,RENEWABLE,farmable,75000,69000,80000,55,,49,182,last-15 spread
dead_horn_coral,RENEWABLE,farmable,70000,50000,70000,100,,35,60,last-15 spread
dead_tube_coral,RENEWABLE,farmable,50000,10000,75000,62,,11,25,last-15 spread
tube_coral_fan,RENEWABLE,farmable,4241,3906,14286,3,,301,9648,last-15 spread
brain_coral_fan,RENEWABLE,farmable,60000,35000,60000,100,,341,7495,last-15 spread
bubble_coral_fan,RENEWABLE,farmable,3906,3906,75000,0,,315,7763,last-15 spread
fire_coral_fan,RENEWABLE,farmable,60000,4688,75000,79,,761,25384,last-15 spread
horn_coral_fan,RENEWABLE,farmable,3906,3906,15000,0,,370,11060,last-15 spread
dead_brain_coral_fan,RENEWABLE,farmable,185000,13333,599000,29,,672,12438,last-15 spread
dead_bubble_coral_fan,RENEWABLE,farmable,70000,12500,100000,66,,366,8605,last-15 spread
dead_fire_coral_fan,RENEWABLE,farmable,12109,12109,79000,0,,1055,8644,last-15 spread
dead_horn_coral_fan,RENEWABLE,farmable,99900,80000,99900,100,,799,8830,last-15 spread
blue_ice,RENEWABLE,farmable,3438,3125,4584,21,,4970,205137,last-15 spread
conduit,RENEWABLE,farmable,219000,73386,374000,48,,445,3629,last-15 spread
polished_granite_stairs,RENEWABLE,farmable,4688,2344,7813,43,,65,3941,last-15 spread
smooth_red_sandstone_stairs,RENEWABLE,farmable,62500,54688,132000,10,,2,65,last-15 spread
mossy_stone_brick_stairs,RENEWABLE,farmable,3125,3125,3281,0,,119,7360,last-15 spread
end_stone_brick_stairs,RENEWABLE,farmable,7812,1563,14000,50,,95,5514,last-15 spread
smooth_sandstone_stairs,RENEWABLE,farmable,3125,2381,6250,19,,379,23873,last-15 spread
granite_stairs,RENEWABLE,farmable,1172,1172,4375,0,,52,3257,last-15 spread
andesite_stairs,RENEWABLE,farmable,3828,3828,7734,0,,387,24658,last-15 spread
red_nether_brick_stairs,RENEWABLE,farmable,18750,17188,18750,100,,119,6843,last-15 spread
polished_andesite_stairs,RENEWABLE,farmable,7031,7031,15432,0,,1016,62835,last-15 spread
diorite_stairs,RENEWABLE,farmable,5469,5469,14844,0,,303,18305,last-15 spread
cobbled_deepslate_stairs,RENEWABLE,farmable,1250,1172,1250,100,,475,27854,last-15 spread
deepslate_brick_stairs,RENEWABLE,farmable,1563,1172,3906,14,,1599,101277,last-15 spread
deepslate_tile_stairs,RENEWABLE,farmable,2266,2266,9136,0,,946,55512,last-15 spread
polished_granite_slab,RENEWABLE,farmable,938,96,1234,74,,53,3208,last-15 spread
smooth_red_sandstone_slab,RENEWABLE,farmable,23438,10156,80000,19,,4,130,last-15 spread
mossy_stone_brick_slab,RENEWABLE,farmable,11703,3125,31250,30,,63,3589,last-15 spread
polished_diorite_slab,RENEWABLE,farmable,7688,3125,12500,49,,365,22795,last-15 spread
mossy_cobblestone_slab,RENEWABLE,farmable,7813,2586,7813,100,,153,8928,last-15 spread
end_stone_brick_slab,RENEWABLE,farmable,1429,781,2558,36,,70,4159,last-15 spread
smooth_sandstone_slab,RENEWABLE,farmable,4688,2328,5469,75,,226,13663,last-15 spread
smooth_quartz_slab,RENEWABLE,farmable,4688,4359,4688,100,,413,25296,last-15 spread
granite_slab,RENEWABLE,farmable,6250,2273,9375,56,,120,7555,last-15 spread
andesite_slab,RENEWABLE,farmable,1563,1207,1953,48,,192,12207,last-15 spread
red_nether_brick_slab,RENEWABLE,farmable,23438,15558,76563,13,,88,5082,last-15 spread
polished_andesite_slab,RENEWABLE,farmable,4390,4390,4688,0,,398,25061,last-15 spread
diorite_slab,RENEWABLE,farmable,2344,1563,3422,42,,307,19133,last-15 spread
deepslate_brick_slab,RENEWABLE,farmable,1953,1797,2188,40,,752,47428,last-15 spread
deepslate_tile_slab,RENEWABLE,farmable,1563,781,7813,11,,756,47004,last-15 spread
scaffolding,RENEWABLE,farmable,594,594,859,0,,7179,441509,last-15 spread
redstone,RENEWABLE,farmable,467,431,1313,4,,17641,727721,last-15 spread
redstone_block,RENEWABLE,farmable,12999,2000,168000,5,,9687,154981,27d candles
repeater,RENEWABLE,farmable,15000,1000,100000,7,,13457,240365,33d candles
comparator,RENEWABLE,farmable,20000,1000,450000,1,,8689,122328,33d candles
piston,RENEWABLE,farmable,3438,979,250000,4,,15960,413236,32d candles
sticky_piston,RENEWABLE,farmable,15999,984,280000,1,,11586,214402,32d candles
slime_block,RENEWABLE,farmable,45000,30000,45000,100,,8925,265477,last-15 spread
honey_block,RENEWABLE,farmable,5625,5625,5781,0,,7113,65103,last-15 spread
observer,RENEWABLE,farmable,25000,1000,110000,18,,22683,494942,23d candles
