kind,action,item,inputs,unit_cost,unit_value,per_listing,capital_per_listing,profit_per_listing,cycle_min,profit_per_slot_hour,raw_slot_hour,grade,depth_listings_per_day,ceiling_per_hour,useful_slots,note
CRAFT,craft white_concrete_powder and sell a stack,white_concrete_powder,1x white_dye + 4x sand + 4x gravel,234.2,1484.0,64,14988,79988,6.6,363638,727277,C,128.6,214293,0.59,
CRAFT,craft brewing_stand and sell a stack,brewing_stand,1x blaze_rod + 3x cobbled_deepslate,430.0,1563.0,64,27520,72512,6.0,362560,725120,C,145.7,220135,0.61,
CRAFT,craft cyan_stained_glass_pane and sell a stack,cyan_stained_glass_pane,6x cyan_stained_glass,574.1,6984.0,64,36744,410232,57.8,362115,426018,B,12.7,184247,0.51,
CRAFT,craft light_blue_stained_glass and sell a stack,light_blue_stained_glass,8x glass + 1x light_blue_dye,435.9,1563.0,64,27896,72136,6.0,360680,721360,C,196.7,295605,0.82,
CRAFT,craft pale_oak_shelf and sell a stack,pale_oak_shelf,6x stripped_pale_oak_log,3906.2,5469.0,64,250000,100016,14.2,359642,423108,B,54.6,193461,0.54,
CRAFT,craft purple_terracotta and sell a stack,purple_terracotta,8x terracotta + 1x purple_dye,347.6,3495.0,64,22248,201432,28.6,359329,422740,B,26.1,186176,0.52,
CRAFT,craft red_bed and sell a stack,red_bed,3x red_wool + 3x spruce_planks,8926.4,80000.0,1,8926,71074,6.0,355368,710736,C,210.4,311539,0.88,
CRAFT,craft dark_oak_stairs and sell a stack,dark_oak_stairs,6x dark_oak_planks,1561.3,2656.0,64,99925,70059,10.1,354734,417334,B,79.4,196917,0.56,
CRAFT,craft lantern and sell a stack,lantern,8x iron_nugget + 1x torch,1195.2,2344.0,64,76493,73523,6.3,351544,703089,C,136.5,209098,0.59,
CRAFT,craft stone_stairs and sell a stack,stone_stairs,6x stone,21.0,1094.0,64,1344,68672,6.0,343360,686720,C,211.2,302190,0.88,
CRAFT,craft cyan_concrete_powder and sell a stack,cyan_concrete_powder,1x cyan_dye + 4x sand + 4x gravel,167.5,3906.0,64,10720,239264,21.3,337310,674619,C,35.5,176971,0.52,
FLIP,"buy map on /orders at 3,900, relist a stack",map,64 x map,3900.0,6953.0,64,249600,195392,35.0,334958,334958,A,1227.1,9990599,29.83,order needs ~0.5h to fill
CRAFT,craft bamboo_fence_gate and sell a stack,bamboo_fence_gate,4x stick + 2x bamboo_planks,958.0,17114.0,64,61312,1033984,93.8,330862,661724,C,7.8,167215,0.51,
CRAFT,craft purple_stained_glass and sell a stack,purple_stained_glass,8x glass + 1x purple_dye,377.6,1406.0,64,24168,65816,6.0,329080,658160,C,347.4,476333,1.45,
CRAFT,craft black_stained_glass_pane and sell a stack,black_stained_glass_pane,6x black_stained_glass,258.8,1563.0,64,16560,83472,7.7,327094,654188,C,108.2,188119,0.58,
CRAFT,craft red_nether_brick_slab and sell a stack,red_nether_brick_slab,3x red_nether_bricks,15.0,15558.0,64,960,994752,91.7,325533,651066,C,7.9,164562,0.51,
CRAFT,craft iron_chain and sell a stack,iron_chain,2x iron_nugget + 1x iron_ingot,466.3,1563.0,64,29843,70189,6.5,325407,650814,C,131.6,192443,0.59,
CRAFT,craft pink_wool and sell a stack,pink_wool,1x pink_dye + 1x black_wool,170.6,1547.0,64,10920,88088,8.1,324527,649054,C,100.8,184980,0.57,
FLIP,"buy gold_block on /orders at 20,500, relist a stack",gold_block,64 x gold_block,20500.0,23438.0,64,1312000,188032,35.0,322341,322341,A,237.4,1859974,5.77,order needs ~0.5h to fill
CRAFT,craft sandstone_wall and sell a stack,sandstone_wall,6x sandstone,312.5,2344.0,64,20000,130016,20.6,321986,378807,B,36.7,169210,0.53,
CRAFT,craft oak_wood and sell a stack,oak_wood,4x oak_log,113.4,3125.0,64,7258,192742,18.0,321215,642430,C,42.4,170054,0.53,
CRAFT,craft deepslate_brick_slab and sell a stack,deepslate_brick_slab,3x deepslate_bricks,5.0,1797.0,64,320,114688,10.7,321082,642163,C,74.1,177065,0.55,
CRAFT,craft smooth_quartz_stairs and sell a stack,smooth_quartz_stairs,6x smooth_quartz,1650.0,4672.0,64,105600,193408,18.7,309841,619683,C,40.6,163660,0.53,
CRAFT,craft crimson_slab and sell a stack,crimson_slab,3x crimson_planks,547.0,3125.0,64,35008,164992,27.2,309601,364236,B,27.5,160714,0.52,
CRAFT,craft pale_oak_planks and sell a stack,pale_oak_planks,1x pale_oak_log,195.2,764.0,64,12496,36400,6.0,309400,364000,B,274.6,354062,1.14,
CRAFT,craft prismarine_wall and sell a stack,prismarine_wall,6x prismarine,2944.7,11391.0,64,188458,540566,89.8,307109,361304,B,8.1,155284,0.51,
CRAFT,craft pink_stained_glass and sell a stack,pink_stained_glass,8x glass + 1x pink_dye,297.6,1250.0,64,19045,60955,6.0,304775,609550,C,152.7,193957,0.64,
CRAFT,craft magenta_stained_glass and sell a stack,magenta_stained_glass,8x glass + 1x magenta_dye,299.4,1250.0,64,19160,60840,6.0,304200,608400,C,151.4,191919,0.63,
CRAFT,craft cyan_wool and sell a stack,cyan_wool,1x cyan_dye + 1x black_wool,80.0,2344.0,64,5121,144895,14.3,304012,608024,C,54.1,163436,0.54,
CRAFT,craft warped_planks and sell a stack,warped_planks,1x warped_stem,50.2,1292.0,64,3216,79472,8.0,298430,596859,C,103.0,170565,0.57,
CRAFT,craft stone_pressure_plate and sell a stack,stone_pressure_plate,2x stone,28.0,4672.0,64,1792,297216,30.1,296644,593287,C,24.8,153426,0.52,
CRAFT,craft mud_brick_slab and sell a stack,mud_brick_slab,3x mud_bricks,25.0,6250.0,64,1600,398400,40.6,294400,588800,C,18.2,150917,0.51,
CRAFT,craft prismarine_brick_stairs and sell a stack,prismarine_brick_stairs,6x prismarine_bricks,2.3,6234.0,64,145,398831,40.8,293384,586769,C,18.1,150380,0.51,
CRAFT,craft jungle_stairs and sell a stack,jungle_stairs,6x jungle_planks,375.0,7000.0,64,24000,424000,75.1,287862,338661,B,9.7,145873,0.51,
CRAFT,craft shulker_box and sell a stack,shulker_box,2x shulker_shell + 1x chest,6158.2,40000.0,1,6158,33842,6.0,287655,338418,B,2622.3,3142991,10.93,
CRAFT,craft white_stained_glass and sell a stack,white_stained_glass,8x glass + 1x white_dye,352.9,1250.0,64,22588,57412,6.0,287059,574118,C,679.4,812564,2.83,
CRAFT,craft coal and sell a stack,coal,1x coal_block,177.8,623.0,64,11378,28494,6.0,284942,284942,A,625.6,742799,2.61,
CRAFT,craft cyan_stained_glass and sell a stack,cyan_stained_glass,8x glass + 1x cyan_dye,286.3,1172.0,64,18320,56688,6.0,283440,566879,C,160.1,189126,0.67,
CRAFT,craft stone_brick_stairs and sell a stack,stone_brick_stairs,6x stone_bricks,7.5,1047.0,64,480,66528,7.1,283043,566085,C,119.0,164908,0.58,
CRAFT,craft blue_terracotta and sell a stack,blue_terracotta,8x terracotta + 1x blue_dye,345.7,1471.0,64,22125,72019,13.1,281449,331117,B,59.8,152403,0.54,
CRAFT,craft purpur_slab and sell a stack,purpur_slab,3x purpur_pillar,742.0,6166.0,64,47488,347136,63.0,281229,330857,B,11.6,142884,0.51,
CRAFT,craft green_stained_glass and sell a stack,green_stained_glass,8x glass + 1x green_dye,377.6,1250.0,64,24168,55832,6.0,279160,558320,C,256.1,297852,1.07,
CRAFT,craft green_candle and sell a stack,green_candle,1x candle + 1x green_dye,881.0,13281.0,64,56384,793600,85.3,279049,558098,C,8.5,141179,0.51,
CRAFT,craft dark_prismarine_stairs and sell a stack,dark_prismarine_stairs,6x dark_prismarine,525.0,7797.0,64,33600,465408,50.5,276215,552431,C,14.5,140895,0.51,
CRAFT,craft heavy_weighted_pressure_plate and sell a stack,heavy_weighted_pressure_plate,2x iron_ingot,340.0,3125.0,64,21760,178240,19.4,274956,549911,C,39.0,144930,0.53,
CRAFT,craft copper_trapdoor and sell a stack,copper_trapdoor,4x copper_ingot,252.0,3542.0,64,16128,210560,23.0,274098,548197,C,32.7,143266,0.52,
CRAFT,craft purple_stained_glass_pane and sell a stack,purple_stained_glass_pane,6x purple_stained_glass,75.0,2344.0,64,4800,145216,16.0,271673,543347,C,47.9,144871,0.53,
CRAFT,craft yellow_concrete_powder and sell a stack,yellow_concrete_powder,1x yellow_dye + 4x sand + 4x gravel,200.3,2683.0,64,12820,158892,17.7,269964,539928,C,43.2,143086,0.53,
CRAFT,craft bamboo_block and sell a stack,bamboo_block,9x bamboo,126.0,547.0,64,8064,26944,6.0,269440,269440,A,208.2,233687,0.87,
CRAFT,craft mossy_stone_bricks and sell a stack,mossy_stone_bricks,1x stone_bricks + 1x moss_block,13.1,1047.0,64,838,66170,7.4,267152,534305,C,112.0,154348,0.58,
CRAFT,craft lime_concrete_powder and sell a stack,lime_concrete_powder,1x lime_dye + 4x sand + 4x gravel,167.5,1875.0,64,10720,109280,12.4,264585,529170,C,63.2,143907,0.54,
CRAFT,craft copper_bulb and sell a stack,copper_bulb,3x copper_block + 1x blaze_rod + 1x redstone,671.7,1953.0,64,42990,82002,9.3,263433,526866,C,86.3,147513,0.56,
CRAFT,craft lime_candle and sell a stack,lime_candle,1x candle + 1x lime_dye,150.0,13281.0,64,9600,840384,95.9,262860,525719,C,7.6,132815,0.51,
CRAFT,craft brick_slab and sell a stack,brick_slab,3x bricks,976.5,4688.0,64,62496,237536,46.3,261896,308113,B,15.9,133841,0.51,
CRAFT,craft waxed_copper_block and sell a stack,waxed_copper_block,1x copper_block + 1x honeycomb,742.0,2969.0,64,47488,142528,16.7,256724,513449,C,46.0,136561,0.53,
CRAFT,craft tuff_brick_slab and sell a stack,tuff_brick_slab,3x tuff_bricks,590.7,6234.0,64,37807,361169,71.8,256561,301837,B,10.2,130093,0.51,
CRAFT,craft gray_carpet and sell a stack,gray_carpet,2x gray_wool,334.1,1953.0,64,21380,103612,12.1,256017,512034,C,64.6,139498,0.54,
CRAFT,craft iron_ingot and sell a stack,iron_ingot,1x iron_block,277.8,677.0,64,17778,25550,6.0,255502,255502,A,960.3,1022322,4.0,
CRAFT,craft light_blue_dye and sell a stack,light_blue_dye,1x blue_dye + 1x white_dye,674.6,1210.0,64,43172,34268,6.9,253502,298237,B,122.2,148256,0.58,
CRAFT,craft brown_dye and sell a stack,brown_dye,1x cocoa_beans,26.0,1176.0,64,1664,73600,8.8,250996,501992,C,92.3,141594,0.56,
FLIP,"buy blackstone on /orders at 850, relist a stack",blackstone,64 x blackstone,850.0,3125.0,64,54400,145600,35.0,249600,249600,A,549.3,3332363,13.35,order needs ~0.5h to fill
CRAFT,craft lime_carpet and sell a stack,lime_carpet,1x lime_dye + 1x black_carpet,1596.9,7745.0,64,102200,393480,47.4,249160,498319,C,15.5,127266,0.51,
CRAFT,craft yellow_stained_glass and sell a stack,yellow_stained_glass,8x glass + 1x yellow_dye,319.1,1094.0,64,20420,49596,6.0,247980,495960,C,211.8,218881,0.88,
CRAFT,craft yellow_stained_glass_pane and sell a stack,yellow_stained_glass_pane,6x yellow_stained_glass,410.2,3125.0,64,26256,173744,35.9,246579,290093,B,20.6,126818,0.51,
CRAFT,craft chest_minecart and sell a stack,chest_minecart,1x chest + 1x minecart,1018.2,50000.0,1,1018,48982,6.0,244909,489818,C,819.2,835956,3.41,
CRAFT,craft blue_dye and sell a stack,blue_dye,1x cornflower,1.0,766.0,64,64,48960,6.0,244800,489600,C,251.6,256611,1.05,
FLIP,"buy tnt on /orders at 1,700, relist a stack",tnt,64 x tnt,1700.0,3906.0,64,108800,141184,35.0,242030,242030,A,1362.2,8013644,33.11,order needs ~0.5h to fill
FLIP,"buy iron_block on /orders at 2,500, relist a stack",iron_block,64 x iron_block,2500.0,4688.0,64,160000,140032,35.0,240055,240055,A,392.5,2290262,9.54,order needs ~0.5h to fill
CRAFT,craft raw_iron_block and sell a stack,raw_iron_block,9x raw_iron,1089.0,7500.0,64,69696,410304,51.6,238659,477318,C,14.2,121689,0.51,
CRAFT,craft polished_tuff_slab and sell a stack,polished_tuff_slab,3x polished_tuff,925.8,4297.0,64,59252,215756,46.2,238340,280400,B,15.9,121808,0.51,
CRAFT,craft hopper_minecart and sell a stack,hopper_minecart,1x hopper + 1x minecart,2360.0,50000.0,1,2360,47640,6.0,238200,476400,C,924.8,917864,3.85,
CRAFT,craft nether_brick_fence and sell a stack,nether_brick_fence,4x nether_bricks + 2x nether_brick,1780.3,6250.0,64,113937,286063,61.4,237759,279716,B,11.9,120849,0.51,
CRAFT,craft oak_stairs and sell a stack,oak_stairs,6x oak_planks,78.0,1563.0,64,4992,95040,12.0,237403,474806,C,65.4,129483,0.55,
CRAFT,craft bamboo_hanging_sign and sell a stack,bamboo_hanging_sign,2x iron_chain + 6x stripped_bamboo_block,2864.8,26000.0,16,45836,370164,79.5,237381,279272,B,9.2,120202,0.51,
CRAFT,craft glass_bottle and sell a stack,glass_bottle,3x glass,280.0,1016.0,64,17920,47104,6.0,235520,471040,C,343.9,337436,1.43,
CRAFT,craft leather_horse_armor and sell a stack,leather_horse_armor,7x leather,1981.0,500000.0,1,1981,498019,64.2,232872,465744,C,11.4,118280,0.51,
CRAFT,craft smooth_sandstone_stairs and sell a stack,smooth_sandstone_stairs,6x smooth_sandstone,46.5,2381.0,64,2976,149408,20.3,220777,441553,C,37.3,116107,0.53,
CRAFT,craft waxed_oxidized_copper_grate and sell a stack,waxed_oxidized_copper_grate,4x waxed_oxidized_copper,4684.8,6834.0,64,299828,137548,32.1,218867,257491,B,23.2,112958,0.52,
CRAFT,craft blue_concrete_powder and sell a stack,blue_concrete_powder,1x blue_dye + 4x sand + 4x gravel,257.0,1563.0,64,16445,83587,11.8,213413,426826,C,67.0,116633,0.55,
CRAFT,craft gray_stained_glass_pane and sell a stack,gray_stained_glass_pane,8x glass_pane + 1x gray_dye,1051.2,3594.0,64,67278,162738,38.9,213182,250803,B,19.0,109401,0.51,
CRAFT,craft sandstone_stairs and sell a stack,sandstone_stairs,6x sandstone,468.8,1563.0,64,30000,70032,16.8,212504,250005,B,45.5,112974,0.53,
CRAFT,craft green_concrete_powder and sell a stack,green_concrete_powder,1x green_dye + 4x sand + 4x gravel,258.9,1250.0,64,16568,63432,9.0,212314,424628,C,90.4,119488,0.56,
CRAFT,craft polished_deepslate_slab and sell a stack,polished_deepslate_slab,3x polished_deepslate,195.3,781.0,64,12500,37484,9.3,206090,242459,B,87.0,115496,0.56,
CRAFT,craft purple_bed and sell a stack,purple_bed,3x purple_wool + 3x spruce_planks,9189.0,170000.0,1,9189,160811,23.5,205291,410581,C,32.0,107207,0.52,
CRAFT,craft gray_concrete_powder and sell a stack,gray_concrete_powder,1x gray_dye + 4x sand + 4x gravel,603.5,2813.0,64,38622,141410,20.7,204818,409637,C,36.5,107604,0.53,
CRAFT,craft black_concrete_powder and sell a stack,black_concrete_powder,1x black_dye + 4x sand + 4x gravel,172.5,1094.0,64,11040,58976,8.7,202610,405220,C,93.1,114406,0.56,
CRAFT,craft bamboo_sign and sell a stack,bamboo_sign,6x bamboo_planks + 1x stick,939.7,4938.0,16,15035,63973,9.5,202142,404284,C,84.8,112970,0.56,
CRAFT,craft light_gray_stained_glass_pane and sell a stack,light_gray_stained_glass_pane,6x light_gray_stained_glass,262.9,3594.0,64,16824,213192,31.7,201983,403967,C,23.5,104285,0.52,
CRAFT,craft polished_tuff_wall and sell a stack,polished_tuff_wall,6x polished_tuff,1851.6,7188.0,64,118503,341529,86.8,200645,236053,B,8.4,101491,0.51,
CRAFT,craft waxed_oxidized_copper and sell a stack,waxed_oxidized_copper,1x oxidized_copper + 1x honeycomb,1100.0,1887.0,64,70400,50368,7.6,199545,399090,C,109.5,114953,0.58,
CRAFT,craft cherry_planks and sell a stack,cherry_planks,1x cherry_log,32.0,734.0,64,2048,44928,6.8,198696,397392,C,124.5,116526,0.59,
CRAFT,craft music_disc_5 and sell a stack,music_disc_5,9x disc_fragment_5,107955.5,249000.0,1,107956,141044,37.0,194413,228721,B,20.0,99906,0.51,
CRAFT,craft spectral_arrow and sell a stack,spectral_arrow,4x glowstone_dust + 1x arrow,145.0,1094.0,64,9280,60736,9.4,193743,387486,C,85.7,108398,0.56,
CRAFT,craft melon and sell a stack,melon,9x melon_slice,90.0,1484.0,64,5760,89216,13.9,192738,385476,C,55.9,103847,0.54,
CRAFT,craft mangrove_trapdoor and sell a stack,mangrove_trapdoor,6x mangrove_planks,5151.0,7031.0,64,329664,120320,33.0,186200,219058,B,22.5,96013,0.52,
CRAFT,craft blaze_powder and sell a stack,blaze_powder,1x blaze_rod,200.0,781.0,64,12800,37184,6.0,185920,371840,C,173.6,134452,0.72,
CRAFT,craft crimson_trapdoor and sell a stack,crimson_trapdoor,6x crimson_planks,3282.0,6819.0,64,210048,226368,62.5,184772,217379,B,11.7,93889,0.51,
CRAFT,craft bucket and sell a stack,bucket,3x iron_ingot,510.0,2813.0,16,8160,36848,6.0,184240,368480,C,441.2,338728,1.84,
CRAFT,craft green_wool and sell a stack,green_wool,1x green_dye + 1x black_wool,811.0,1563.0,64,51904,48128,7.9,183341,366683,C,104.7,105004,0.57,
CRAFT,craft light_gray_wool and sell a stack,light_gray_wool,1x light_gray_dye + 1x black_wool,1053.0,1875.0,64,67392,52608,8.6,182889,365777,C,94.4,103430,0.57,
CRAFT,craft scaffolding and sell a stack,scaffolding,6x bamboo + 1x string,26.0,594.0,64,1664,36352,6.0,181760,363520,C,689.9,522452,2.87,
CRAFT,craft mangrove_shelf and sell a stack,mangrove_shelf,6x stripped_mangrove_log,6578.9,10938.0,64,421053,278979,78.5,181133,213098,B,9.3,91734,0.51,
CRAFT,craft white_terracotta and sell a stack,white_terracotta,8x terracotta + 1x white_dye,322.9,781.0,64,20668,29316,8.3,179869,211611,B,98.5,102234,0.57,
CRAFT,craft purpur_stairs and sell a stack,purpur_stairs,6x purpur_pillar,2226.0,5882.0,64,142464,233984,66.7,178790,210341,B,11.0,90755,0.51,
CRAFT,craft deepslate_bricks and sell a stack,deepslate_bricks,4x polished_deepslate,390.6,719.0,64,25000,21016,6.0,178639,210163,B,552.6,411294,2.3,
CRAFT,craft lightning_rod and sell a stack,lightning_rod,3x copper_ingot,189.0,3109.0,64,12096,186880,31.5,177899,355798,C,23.6,91864,0.52,
CRAFT,craft deepslate_tile_wall and sell a stack,deepslate_tile_wall,6x deepslate_tiles,5.0,1563.0,64,320,99712,16.8,177870,355740,C,45.5,94558,0.53,
CRAFT,craft blue_stained_glass_pane and sell a stack,blue_stained_glass_pane,6x blue_stained_glass,56.2,3125.0,64,3600,196400,33.3,176753,353507,C,22.3,91110,0.52,
CRAFT,craft purple_dye and sell a stack,purple_dye,1x blue_dye + 1x red_dye,460.8,781.0,64,29492,20492,6.0,174183,204922,B,160.6,116552,0.67,
CRAFT,craft cherry_sign and sell a stack,cherry_sign,6x cherry_planks + 1x stick,1564.2,6188.0,16,25027,73981,12.7,174135,348270,C,61.3,94480,0.54,
CRAFT,craft target and sell a stack,target,4x redstone + 1x hay_block,3543.5,4375.0,64,226785,53215,9.2,173878,347756,C,88.0,97566,0.56,
CRAFT,craft chiseled_bookshelf and sell a stack,chiseled_bookshelf,6x spruce_planks + 3x spruce_slab,473.2,1406.0,64,30288,59696,10.4,171980,343960,C,76.5,95125,0.55,
CRAFT,craft waxed_copper_grate and sell a stack,waxed_copper_grate,4x waxed_copper_block,505.0,3734.0,64,32321,206655,36.2,171135,342271,C,20.4,87997,0.51,
CRAFT,craft cherry_trapdoor and sell a stack,cherry_trapdoor,6x cherry_planks,2343.8,3937.0,64,150000,101968,30.6,169962,199955,B,24.3,87852,0.52,
CRAFT,craft red_nether_brick_wall and sell a stack,red_nether_brick_wall,6x red_nether_bricks,30.0,14063.0,64,1920,898112,158.9,169602,339204,C,4.6,85338,0.5,
FLIP,"buy coal_block on /orders at 1,600, relist a stack",coal_block,64 x coal_block,1600.0,3140.0,64,102400,98560,35.0,168960,168960,A,186.2,764648,4.53,order needs ~0.5h to fill
CRAFT,craft polished_blackstone_wall and sell a stack,polished_blackstone_wall,6x polished_blackstone,312.0,3125.0,64,19968,180032,32.0,168862,337725,C,23.2,87156,0.52,
CRAFT,craft green_stained_glass_pane and sell a stack,green_stained_glass_pane,6x green_stained_glass,71.2,2344.0,64,4560,145456,25.9,168744,337488,C,29.0,87766,0.52,
CRAFT,craft chest and sell a stack,chest,8x spruce_planks,256.0,781.0,64,16384,33600,6.0,168000,336000,C,1121.3,784931,4.67,
CRAFT,craft tuff_slab and sell a stack,tuff_slab,3x tuff,0.5,1094.0,64,32,69984,12.5,167709,335417,C,62.5,91134,0.54,
CRAFT,craft waxed_copper_bulb and sell a stack,waxed_copper_bulb,1x copper_bulb + 1x honeycomb,350.0,2813.0,64,22400,157632,28.3,167396,334792,C,26.4,86769,0.52,
CRAFT,craft oak_slab and sell a stack,oak_slab,3x oak_planks,26.0,547.0,64,1664,33344,6.0,166720,333440,C,153.1,106371,0.64,
CRAFT,craft torch and sell a stack,torch,1x charcoal + 1x stick,26.2,547.0,64,1680,33328,6.0,166640,333280,C,906.3,629276,3.78,
CRAFT,craft red_sandstone_slab and sell a stack,red_sandstone_slab,3x red_sandstone,195.3,7813.0,64,12500,487532,149.4,166473,195851,B,4.9,83798,0.5,
CRAFT,craft cookie and sell a stack,cookie,2x wheat + 1x cocoa_beans,59.5,688.0,64,3808,40224,7.3,164932,329863,C,114.0,95522,0.58,
CRAFT,craft detector_rail and sell a stack,detector_rail,6x iron_ingot + 1x stone_pressure_plate + 1x redstone,907.2,3125.0,64,58061,141939,26.1,162955,325910,C,28.7,84720,0.52,
CRAFT,craft light_gray_dye and sell a stack,light_gray_dye,1x azure_bluet,1.0,1022.0,64,64,65344,12.0,162910,325820,C,65.3,88838,0.55,
CRAFT,craft mud_brick_stairs and sell a stack,mud_brick_stairs,6x mud_bricks,75.0,3109.0,64,4800,194176,35.9,162259,324518,C,20.6,83454,0.51,
CRAFT,craft glass_pane and sell a stack,glass_pane,6x glass,105.0,609.0,64,6720,32256,6.0,161280,322560,C,342.2,229942,1.43,
FLIP,"buy crafter on /orders at 3,700, relist a stack",crafter,64 x crafter,3700.0,5156.0,64,236800,93184,35.0,159744,159744,A,365.7,1419855,8.89,order needs ~0.5h to fill
CRAFT,craft skull_banner_pattern and sell a stack,skull_banner_pattern,1x paper + 1x wither_skeleton_skull,31103.0,320000.0,1,31103,288897,54.3,159514,319027,C,13.5,81252,0.51,
CRAFT,craft crafting_table and sell a stack,crafting_table,4x spruce_planks,128.0,625.0,64,8192,31808,6.0,159040,318080,C,599.1,397023,2.5,
CRAFT,craft quartz_pillar and sell a stack,quartz_pillar,2x quartz_block,1100.0,1600.0,64,70400,32000,6.1,158343,316686,C,142.2,94809,0.6,
CRAFT,craft cyan_carpet and sell a stack,cyan_carpet,2x cyan_wool,1562.5,3514.0,64,100000,124896,40.3,157870,185730,B,18.3,80941,0.51,
CRAFT,craft polished_tuff_stairs and sell a stack,polished_tuff_stairs,6x polished_tuff,2777.4,3906.0,64,177755,72229,23.7,155610,183070,B,31.8,81236,0.52,
CRAFT,craft oak_trapdoor and sell a stack,oak_trapdoor,6x oak_planks,156.0,703.0,64,9984,35008,6.7,155606,311212,C,125.2,91335,0.59,
CRAFT,craft light_blue_stained_glass_pane and sell a stack,light_blue_stained_glass_pane,8x glass_pane + 1x light_blue_dye,764.9,2344.0,64,48952,101064,33.1,155527,182973,B,22.4,80183,0.52,
CRAFT,craft red_stained_glass_pane and sell a stack,red_stained_glass_pane,6x red_stained_glass,6.8,1563.0,64,432,99600,19.3,154916,309832,C,39.4,81693,0.53,
CRAFT,craft tnt_minecart and sell a stack,tnt_minecart,1x tnt + 1x minecart,2160.0,33000.0,1,2160,30840,6.0,154200,308400,C,909.0,584032,3.79,
CRAFT,craft polished_blackstone_brick_slab and sell a stack,polished_blackstone_brick_slab,3x polished_blackstone_bricks,107.5,1563.0,64,6880,93152,18.1,154096,308192,C,42.0,81544,0.53,
CRAFT,craft raw_iron and sell a stack,raw_iron,1x raw_iron_block,122.2,1094.0,64,7822,62194,12.1,153813,307625,C,64.7,83816,0.54,
CRAFT,craft dark_prismarine_slab and sell a stack,dark_prismarine_slab,3x dark_prismarine,175.0,4688.0,64,11200,288832,56.4,153585,307170,C,13.0,78178,0.51,
CRAFT,craft bamboo_trapdoor and sell a stack,bamboo_trapdoor,6x bamboo_planks,1407.0,2344.0,64,90048,59968,19.9,153454,180534,B,38.0,80780,0.53,
CRAFT,craft granite_wall and sell a stack,granite_wall,6x granite,434.8,3906.0,64,27826,222158,74.6,151905,178711,B,9.8,76984,0.51,
CRAFT,craft tuff_wall and sell a stack,tuff_wall,6x tuff,1.0,2656.0,64,64,169920,33.9,150548,301096,C,21.9,77565,0.52,
CRAFT,craft tuff_stairs and sell a stack,tuff_stairs,6x tuff,1.5,3125.0,64,96,199904,40.1,149391,298782,C,18.4,76604,0.51,
CRAFT,craft moss_carpet and sell a stack,moss_carpet,2x moss_block,5.4,469.0,64,346,29670,6.0,148352,296704,C,326.2,201615,1.36,
CRAFT,craft warped_fence and sell a stack,warped_fence,4x warped_planks + 2x stick,2735.4,12500.0,64,175066,624934,126.9,147737,295473,C,5.7,74455,0.5,
FLIP,"buy shulker_shell on /orders at 2,800, relist a stack",shulker_shell,64 x shulker_shell,2800.0,4141.0,64,179200,85824,35.0,147127,147127,A,198.0,708093,4.81,order needs ~0.5h to fill
CRAFT,craft green_bed and sell a stack,green_bed,3x green_wool + 3x spruce_planks,1599.3,100000.0,1,1599,98401,20.3,145769,291538,C,37.4,76671,0.53,
CRAFT,craft stone_bricks and sell a stack,stone_bricks,4x stone,14.0,469.0,64,896,29120,6.0,145600,291200,C,788.5,478327,3.29,
CRAFT,craft gray_dye and sell a stack,gray_dye,1x black_dye + 1x white_dye,336.8,938.0,64,21553,38479,8.0,144594,289187,C,103.1,82649,0.57,
CRAFT,craft slime_ball and sell a stack,slime_ball,1x slime_block,17.8,469.0,64,1138,28878,6.0,144391,288782,C,168.4,101289,0.7,
CRAFT,craft spruce_trapdoor and sell a stack,spruce_trapdoor,6x spruce_planks,96.0,547.0,64,6144,28864,6.0,144320,288640,C,521.7,313702,2.17,
CRAFT,craft deepslate_brick_wall and sell a stack,deepslate_brick_wall,6x deepslate_bricks,10.0,1563.0,64,640,99392,20.7,143783,287567,C,36.5,75534,0.53,
CRAFT,craft pale_oak_wood and sell a stack,pale_oak_wood,4x pale_oak_log,1041.3,3578.0,64,66645,162347,57.9,143044,168288,B,12.7,72780,0.51,
CRAFT,craft white_harness and sell a stack,white_harness,3x leather + 2x glass + 1x white_wool,1512.0,60000.0,1,1512,58488,12.3,143030,286061,C,63.9,77862,0.54,
CRAFT,craft cut_copper_stairs and sell a stack,cut_copper_stairs,6x cut_copper,7500.0,12500.0,64,480000,320000,115.2,141666,166666,B,6.3,71453,0.5,
CRAFT,craft pale_oak_button and sell a stack,pale_oak_button,1x pale_oak_planks,654.9,3333.0,64,41916,171396,61.8,141518,166491,B,11.8,71923,0.51,
CRAFT,craft redstone and sell a stack,redstone,1x redstone_block,211.1,431.0,64,13511,14073,6.0,140729,140729,A,1137.1,666741,4.74,
CRAFT,craft waxed_oxidized_cut_copper_slab and sell a stack,waxed_oxidized_cut_copper_slab,3x waxed_oxidized_cut_copper,2734.5,6156.0,64,175008,218976,80.0,139552,164179,B,9.1,70659,0.51,
CRAFT,craft deepslate_tile_slab and sell a stack,deepslate_tile_slab,3x deepslate_tiles,2.5,781.0,64,160,49824,10.8,138356,276712,C,73.4,76235,0.55,
CRAFT,craft white_dye and sell a stack,white_dye,1x bone_meal,216.1,469.0,64,13830,16186,6.0,137583,161862,B,337.6,193513,1.41,
